식품명,식품대분류명,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),포화지방산(g),채소_보너스,Nutri_Score,최종점수
무생채(무만),생채·무침류,30.0,1.03,0.56,5.77,2.57,1.8,249.0,0.09,5,A,-6.0
무숙장아찌,장아찌·절임류,93.0,3.7,6.44,4.78,2.36,1.0,1391.0,2.07,0,D,8.0
무장아찌,장아찌·절임류,98.0,1.9849999999999999,3.3649999999999998,15.505,8.53,2.4,1646.0,0.48000000000000004,0,D,7.0
무조림,조림류,47.6,2.452,1.064,7.761999999999999,2.866,2.1,1023.8,0.174,0,D,7.0
무지개떡,빵 및 과자류,229.0,3.53,0.31,53.01,8.99,0.2,277.0,0.16,0,C,0.0
무짠지,장아찌·절임류,11.0,0.54,0.12,1.98,1.58,2.6,2382.0,0.02,0,D,8.0
무청나물,나물·숙채류,80.0,2.8,5.44,6.04,0.32,3.2,367.0,0.81,5,A,-6.0
무초절임(치킨무),장아찌·절임류,17.0,0.52,0.3,3.05,1.75,1.5,189.0,0.02,0,C,0.0
묵국,국 및 탕류,22.0,1.0,0.4,3.57,0.28,0.8,238.0,0.03,0,C,1.0
묵말이,국 및 탕류,36.0,0.52,0.65,6.9,0.48,1.1,247.0,0.09,0,C,0.0
묵무침,생채·무침류,60.0,0.93,2.08,10.38,0.72,1.6,290.0,0.32,5,B,-4.0
묵밥,밥류,69.25,2.34,0.7125000000000001,13.1425,0.765,1.0750000000000002,123.75,0.1825,0,B,-2.0
문어무침,생채·무침류,66.5,7.6,2.07,5.125,1.675,1.45,342.5,0.30000000000000004,5,A,-8.0
문어볶음,볶음류,77.5,8.435,1.825,7.084999999999999,4.545,1.5,363.5,0.305,1,B,-4.0
물김치,김치류,5.0,0.31,0.08,0.75,0.35,0.4,237.0,0.01,5,B,-4.0
물냉면,면 및 만두류,88.33333333333333,4.233333333333333,0.8533333333333334,15.449999999999998,0.8133333333333331,1.0666666666666667,358.6666666666667,0.265,0,C,-1.0
물만두,면 및 만두류,96.25,6.499999999999999,2.435,12.415,0.055,1.3,95.25,0.45749999999999996,0,A,-5.0
물회,생채·무침류,65.66666666666667,5.13,1.8133333333333335,7.156666666666666,3.82,1.7,336.6666666666667,0.28,5,A,-7.0
미꾸라지튀김,튀김류,387.0,10.89,25.39,28.85,0.3,3.5,324.0,3.89,0,C,-1.0
미나리 초무침,생채·무침류,46.333333333333336,1.9666666666666668,1.3333333333333333,8.216666666666667,4.329999999999999,3.1999999999999997,541.6666666666666,0.21666666666666667,5,B,-4.0
미나리나물,나물·숙채류,25.0,1.2,0.775,3.83,1.31,1.9,160.5,0.125,5,A,-7.0
