식품명,식품대분류명,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),포화지방산(g),채소_보너스,Nutri_Score,최종점수
열무김치,김치류,36.0,2.39,0.38,5.87,0.68,2.7,583.0,0.06,5,B,-4.0
열무나물,나물·숙채류,34.0,2.9,1.15,4.65,0.91,2.2,460.0,0.19,5,B,-4.0
열무물김치,김치류,18.0,1.41,0.07,2.91,1.68,0.5,493.0,0.02,5,C,-1.0
열무얼갈이김치,김치류,35.0,2.15,0.66,5.22,0.91,3.1,680.0,0.08,5,B,-3.0
영양돌솥밥,밥류,119.0,2.43,0.44,25.29,0.66,1.6,25.0,0.08,0,B,-2.0
오겹살구이,구이류,408.0,20.18,35.14,2.72,0.72,0.0,76.0,10.23,0,D,8.0
오곡밥,밥류,158.0,4.24,0.64,32.8,0.19,2.25,156.5,0.15,0,B,-4.0
오리 간장불고기,구이류,98.0,12.6,2.41,6.16,2.93,0.6,313.0,0.76,0,B,-3.0
오리감자죽,죽 및 스프류,97.0,3.7,2.14,15.11,0.28,1.1,121.0,0.41,0,B,-3.0
오리고기구이,구이류,293.0,24.06,19.7,4.89,1.61,2.2,708.0,4.82,0,C,2.0
오리고기로스,구이류,169.0,29.7,4.37,0.78,0.01,0.3,510.0,1.65,0,C,-1.0
오리백숙,찌개 및 전골류,124.0,7.5,7.5,5.57,0.25,0.7,161.0,2.3,0,B,-3.0
오리볶음,볶음류,171.0,10.47,11.27,7.3,2.65,1.5,254.0,3.59,1,B,-4.0
오리불고기,구이류,105.5,9.41,2.71,8.2,4.3,1.05,223.0,0.78,0,A,-5.0
오리죽,죽 및 스프류,155.0,7.5,4.99,19.95,0.55,1.7,62.0,1.16,0,A,-5.0
오리탕,찌개 및 전골류,104.0,6.68,6.56,7.73,1.19,1.2,212.0,1.33,0,B,-4.0
오므라이스,밥류,107.0,2.9,1.88,18.49,1.27,0.9,142.0,0.43,0,B,-2.0
오믈렛,전·적 및 부침류,88.0,6.3,5.82,2.46,0.72,0.2,222.0,1.5,0,B,-2.0
오미자차,음료 및 차류,39.0,0.0,0.0,9.15,8.14,0.3,0.0,0.0,0,C,0.0
오븐스파게티,면 및 만두류,122.0,5.6,3.49,16.77,1.75,1.2,120.0,1.97,0,B,-4.0
오이 도라지 생채,생채·무침류,41.0,1.25,0.5,8.94,3.83,1.85,237.25,0.09,5,A,-6.0
오이 물김치,김치류,51.0,2.9,1.3,8.73,4.21,2.6,2268.0,0.22,5,C,2.0
오이 미역냉국,국 및 탕류,13.0,0.7,0.21,2.91,1.84,0.8,338.0,0.04,0,C,2.0
오이고추 된장무침,생채·무침류,32.0,1.4,0.91,5.18,1.46,1.8,313.0,0.15,5,A,-5.0
오이김치,김치류,38.8,2.43,0.39,7.37,2.28,2.4,1631.2,0.08,5,C,2.0
오이나물,나물·숙채류,73.0,1.3,6.44,2.95,1.04,0.7,309.67,0.96,5,B,-3.0
오이냉국,국 및 탕류,7.0,0.57,0.18,1.32,0.31,0.4,328.0,0.03,0,C,2.0
오이모듬무침,생채·무침류,34.0,1.4,0.58,6.89,3.85,1.5,305.0,0.1,5,B,-4.0
오이무침,생채·무침류,34.0,1.3,0.76,5.58,3.18,1.3,236.5,0.12,5,A,-5.0
오이부추무침,생채·무침류,26.0,0.9,0.35,5.68,2.62,1.3,206.0,0.07,5,A,-5.0
오이생채,생채·무침류,34.3,1.36,0.85,6.14,3.56,1.53,283.8,0.1,5,B,-4.0
오이소박이,김치류,37.67,2.13,0.49,6.73,2.99,2.8,896.33,0.1,5,C,-1.0
오이장아찌,장아찌·절임류,71.0,1.9,3.83,7.71,4.03,1.2,1991.0,0.6,0,D,8.0
오이지,장아찌·절임류,25.0,0.78,1.25,2.68,0.94,2.3,2210.0,0.04,0,D,8.0
오이지무침,생채·무침류,36.5,0.98,1.22,4.38,2.46,1.8,1349.0,0.2,5,C,3.0
오징어 덮밥,밥류,86.8,4.62,0.93,14.65,1.54,0.92,111.2,0.18,0,B,-3.0
오징어국,국 및 탕류,22.6,3.32,0.45,1.38,0.44,0.46,207.2,0.08,0,C,-1.0
오징어무침,생채·무침류,75.8,8.84,1.2,7.74,4.48,1.51,229.8,0.25,5,A,-10.0
오징어미역초무침,생채·무침류,87.0,15.0,1.72,5.24,0.65,3.6,1133.0,0.39,5,B,-4.0
오징어볶음,볶음류,90.4,8.94,2.56,7.96,2.98,1.56,281.1,0.46,1,A,-5.0
오징어불고기,구이류,123.0,16.4,3.23,7.25,2.81,1.3,366.0,0.59,0,B,-3.0
오징어산적,전·적 및 부침류,127.0,21.72,2.47,4.5,1.14,1.1,596.0,0.34,0,C,-1.0
오징어순대,찜류,88.0,9.88,1.3,9.05,0.3,1.05,342.5,0.3,0,B,-4.0
오징어젓,젓갈류,60.0,10.1,0.7,3.4,2.4,1.6,2151.0,0.2,0,D,4.0
오징어조림,조림류,63.5,8.25,0.8,5.78,1.74,0.8,290.0,0.18,0,B,-3.0
오징어찌개,찌개 및 전골류,28.25,3.4,0.36,2.88,0.77,0.68,216.25,0.08,0,C,-1.0
오징어찜,찜류,56.0,8.5,1.32,2.61,0.73,0.9,113.0,0.26,0,A,-6.0
오징어채무침,생채·무침류,188.0,18.9,4.16,16.54,6.07,1.0,712.0,0.73,5,A,-5.0
오징어채볶음,볶음류,163.0,16.1,5.78,6.56,2.35,0.4,477.0,0.91,1,B,-2.0
오징어채조림,조림류,240.0,23.52,4.9,25.36,13.78,5.8,1130.0,0.82,0,C,2.0
오징어탕수,튀김류,178.0,11.03,7.86,14.85,4.88,0.95,245.75,1.38,0,A,-5.0
오징어튀김,튀김류,122.0,8.7,6.14,6.9,0.03,0.2,175.5,1.04,0,A,-5.0
오징어포조림,조림류,133.0,15.5,1.77,13.03,5.79,0.6,449.0,0.43,0,B,-2.0
옥돔구이,구이류,39.0,4.91,1.92,0.11,0.04,0.0,33.0,0.34,0,B,-3.0
옥수수,찜류,185.0,6.68,2.42,34.2,2.36,5.7,90.0,0.29,0,A,-9.0
옥수수구이,구이류,144.0,2.92,8.21,14.5,3.76,0.9,179.0,1.81,0,B,-2.0
옥수수밥,밥류,113.0,2.1,0.34,24.39,0.25,0.6,3.0,0.09,0,C,-1.0
옥수수부침,전·적 및 부침류,178.67,3.2,7.63,23.93,2.52,2.0,432.33,1.15,0,C,0.0
옥수수샐러드,생채·무침류,130.0,1.4,8.31,12.49,4.09,1.2,246.0,1.2,5,A,-5.0
올갱이국,국 및 탕류,24.0,2.28,0.7,2.17,0.27,1.0,336.0,0.13,0,C,0.0
올갱이국수,면 및 만두류,38.0,0.75,0.55,7.44,1.24,1.5,258.0,0.1,0,C,0.0
올갱이해장국,국 및 탕류,41.0,4.0,1.35,3.51,0.77,1.7,342.33,0.21,0,C,-1.0
와플,빵 및 과자류,279.07,3.93,2.15,40.91,15.44,2.3,250.67,5.38,0,C,3.0
완두콩밥,밥류,124.75,2.45,0.36,26.72,0.16,0.85,1.5,0.1,0,C,-1.0
완자전,전·적 및 부침류,214.0,11.46,13.33,10.73,0.56,2.9,369.0,3.33,0,B,-3.0
완자조림,조림류,170.25,14.0,6.41,12.84,2.49,1.55,224.0,1.42,0,A,-5.0
요구르트(액상),유제품류 및 빙과류,96.0,2.16,2.66,14.8,14.0,0.9,34.0,0.73,0,C,0.0
우거지나물무침,나물·숙채류,86.0,3.0,5.67,5.8,1.0,5.8,515.0,0.67,5,A,-7.0
우동,면 및 만두류,65.0,1.92,0.85,11.54,0.23,0.8,260.0,0.19,0,C,0.0
우동볶음,면 및 만두류,128.0,2.8,2.01,24.79,0.43,2.0,257.0,0.49,0,B,-2.0
우럭 매운탕,찌개 및 전골류,30.0,3.75,0.55,2.74,0.9,0.75,159.0,0.13,0,B,-2.0
우럭구이,구이류,143.0,17.37,7.28,0.58,0.19,0.0,884.33,1.18,0,C,3.0
우럭튀김,튀김류,289.0,24.7,12.12,19.21,0.02,0.5,1919.0,2.29,0,D,6.0
우럭회덮밥,밥류,67.0,3.49,0.77,11.47,1.55,0.8,64.0,0.14,0,B,-2.0
우롱차,음료 및 차류,19.0,0.0,0.09,4.76,3.81,0.3,3.0,0.0,0,C,0.0
우엉 양념구이,구이류,67.0,1.7,1.41,12.06,1.59,1.9,60.0,0.22,0,B,-3.0
우엉볶음,볶음류,112.5,2.9,6.4,11.46,1.93,3.45,321.0,0.96,1,B,-3.0
우엉조림,조림류,104.0,3.69,2.98,17.89,4.75,2.9,371.0,0.53,0,B,-2.0
우유,유제품류 및 빙과류,73.0,2.04,2.31,11.04,10.24,0.6,23.0,1.15,0,C,0.0
울면,면 및 만두류,79.0,4.02,0.86,13.44,0.4,0.8,219.0,0.21,0,C,-1.0
월남쌈,면 및 만두류,123.75,7.2,4.84,12.83,6.54,1.42,266.25,1.38,0,B,-4.0
웨이퍼,빵 및 과자류,528.0,7.0,31.0,55.0,36.0,2.3,85.0,21.0,0,E,21.0
유과,빵 및 과자류,424.0,2.81,12.83,74.23,24.15,1.1,23.0,1.37,0,D,7.0
유부 된장국,국 및 탕류,72.5,4.8,4.65,2.71,0.64,0.9,324.0,0.74,0,B,-2.0
유부 초밥,밥류,199.33,5.87,6.91,27.1,2.22,0.9,133.33,1.1,0,B,-4.0
유부국,국 및 탕류,17.0,1.08,1.02,1.13,0.2,0.3,162.0,0.16,0,C,0.0
유부조림,조림류,254.0,13.7,18.34,7.95,3.23,0.9,243.0,2.85,0,B,-4.0
유산슬,볶음류,71.0,7.54,2.23,4.1,0.59,1.2,211.0,0.4,1,A,-5.0
유자차,음료 및 차류,47.5,0.0,0.04,10.3,9.49,0.3,6.5,0.0,0,C,1.0
유채김치,김치류,62.0,3.5,0.8,10.1,2.4,2.62,926.0,0.0,5,C,0.0
유채나물,나물·숙채류,36.0,3.7,1.07,4.89,0.71,3.3,472.0,0.17,5,A,-6.0
유채무침,생채·무침류,60.0,3.4,0.67,12.47,6.2,3.0,227.0,0.12,5,A,-9.0
유채물김치,김치류,17.0,1.0,0.1,3.0,2.4,2.62,452.0,0.0,5,B,-3.0
육개장,국 및 탕류,36.53,3.78,1.51,2.14,0.64,0.85,173.07,0.41,0,B,-2.0
육회,수·조·어·육류,144.0,9.72,7.04,10.64,7.54,3.95,331.0,2.04,0,A,-6.0
육회비빔밥,밥류,115.0,3.9,2.88,17.66,0.71,0.9,77.0,0.65,0,B,-3.0
율무밥,밥류,118.0,2.23,0.17,25.55,0.01,0.3,2.0,0.05,0,C,-1.0
율무죽,죽 및 스프류,77.0,3.26,0.98,13.75,0.1,0.7,1.0,0.15,0,B,-2.0
율무차,음료 및 차류,62.5,0.85,1.23,12.24,7.82,0.0,51.0,0.43,0,C,0.0
은대구구이,구이류,137.0,9.2,10.5,0.03,0.01,0.0,762.0,2.14,0,C,3.0
인절미,빵 및 과자류,225.67,5.12,1.4,48.19,4.58,2.5,301.0,0.16,0,B,-3.0
임연수구이,구이류,198.0,21.52,11.76,0.73,0.24,0.0,628.0,2.44,0,C,1.0
임연수조림,조림류,117.5,12.9,4.49,5.72,3.26,0.7,254.5,0.96,0,B,-4.0
임연수튀김,튀김류,275.5,19.6,14.76,13.37,0.02,0.4,901.5,2.75,0,D,5.0
잉어 매운탕,찌개 및 전골류,52.0,5.7,1.5,4.08,1.56,1.2,231.0,0.28,0,B,-3.0
자몽차,음료 및 차류,33.0,0.1,0.0,8.23,7.0,0.3,3.0,0.0,0,C,0.0
